EQUIPO;Usuario;Password
2610-DT-1;Alexander;987654
2610-HO-1;Paul;123456
2610-BH-1;;
2610-FL-1;;
2610-FA-1;;
2610-AR-1;;
2610-CR-1;;
2730-FE-1;;
2730-MA-1;;
2730-CV-1;;
2730-DT-1;;
2730-FE-2;;
2730-MA-2;;
2730-CV-2;;
3140-FE-1;;
3140-FE-2;;
3140-FE-3;;
3140-FE-4;;
3140-CV-1;;
3140-FE-5;;
3140-FE-6;;
3140-FE-7;;
3140-FE-8;;
3140-CV-2;;
3140-PU-1;;
3140-BH-1;;
3140-BH-2;;
3210-MI-1;;
3210-SN-1;;
3210-BX-1;;
3210-MI-2;;
3210-SN-2;;
3210-BX-4;;
3210-PU-1;;
3210-PU-2;;
3210-CY-1;;
3210-MI-3;;
3210-XM-5;;
3210-CY-3;;
3210-PU-3;;
3210-PU-21;;
3210-CY-2;;
3210-MI-4;;
3210-XM-6;;
3210-PU-17;;
3210-CY-4;;
3210-TK-1;;
3210-CV-1;;
3210-PU-22;;
3210-FE-2;;
3210-CT-1;;
3210-CT-2;;
3210-CT-3;;
3210-CT-4;;
3210-CT-5;;
3210-FE-1;;
3210-FE-3;;
3210-BX-23;;
3210-PU-25;;
3210-PU-26;;
3210-CV-2;;
3220-CV-1;;
3220-CH-37;;
3220-HO-1;;
3220-CH-39;;
3220-CH-5;;
3220-CV-9;;
3220-CV-10;;
3220-CV-11;;
3220-FE-1;;
3220-CV-3;;
3220-CV-14;;
3220-CH-18;;
3220-CH-40;;
3220-CV-15;;
3220-MA-1;;
3220-MA-2;;
3220-MA-3;;
3220-CR-1;;
3310-DB-1;;
3310-FT-5;;
3310-BX-24;;
3310-FT-15;;
3310-FT-25;;
3310-FT-35;;
3310-BX-2;;
3310-PU-1;;
3310-PU-2;;
3310-PU-14;;
3320-BX-1;;
3310-BX-3;;
3310-PU-3;;
3310-PU-4;;
3310-DB-3;;
3310-FT-71;;
3310-FT-72;;
3310-FT-73;;
3310-FT-74;;
3310-PU-15;;
3310-PU-16;;
3310-BL-1;;
3310-BL-2;;
3310-BL-3;;
3310-BL-4;;
3310-BX-1;;
3310-FT-1;;
3310-FT-2;;
3310-FT-3;;
3310-FT-4;;
3310-FT-6;;
3310-FT-7;;
3310-FT-8;;
3310-FT-11;;
3310-FT-12;;
3310-FT-13;;
3310-FT-14;;
3310-FT-16;;
3310-FT-17;;
3310-FT-18;;
3310-FT-21;;
3310-FT-22;;
3310-FT-23;;
3310-FT-24;;
3310-FT-26;;
3310-FT-27;;
3310-FT-28;;
3310-FT-31;;
3310-FT-32;;
3310-FT-33;;
3310-FT-34;;
3310-FT-36;;
3310-FT-37;;
3310-FT-38;;
3310-FT-47;;
3310-FT-51;;
3310-FT-48;;
3310-FT-49;;
3310-FT-59;;
3310-FT-60;;
3310-FT-61;;
3310-FT-62;;
3310-BX-11;;
3310-FT-52;;
3310-FT-53;;
3310-FT-64;;
3310-FT-65;;
3310-FT-66;;
3310-FT-67;;
3320-PU-11;;
3320-PU-12;;
3320-PU-1;;
3320-PU-2;;
3320-PU-3;;
3320-CY-1;;
3320-CY-2;;
3320-CY-3;;
3320-MI-1;;
3320-MI-2;;
3320-MI-3;;
3330-PO-1;;
3340-CF-101;;
3520-PU-195;;
3520-PU-196;;
3350-PU-199;;
3720-PU-7;;
3340-CF-102;;
3720-PU-8;;
3350-PU-120;;
3340-CF-103;;
3350-PU-121;;
3350-PU-130;;
3340-CF-104;;
3350-PU-131;;
3350-PU-140;;
3340-CF-105;;
3350-PU-141;;
3350-PU-150;;
3340-CF-106;;
3350-PU-151;;
3350-PU-160;;
3340-CF-107;;
3350-PU-161;;
3340-CF-108;;
3340-CF-109;;
3340-CF-110;;
3340-HF-101;;
3350-TK-104;;
3350-TK-103;;
3340-HF-102;;
3350-TK-108;;
3350-TK-105;;
3350-PU-178;;
3340-HF-103;;
3350-PU-176;;
3350-PU-177;;
3350-TK-106;;
3340-HF-104;;
3340-HF-105;;
3340-HF-106;;
3340-HF-107;;
3340-HF-108;;
3340-HF-109;;
3340-HF-110;;
3340-TH-101;;
3340-TH-102;;
3340-TH-103;;
3340-PU-104;;
3340-PU-105;;
3340-PU-108;;
3340-PU-171;;
3340-ZA-101;;
3340-DB-105;;
3340-PU-111;;
3340-PU-191;;
3340-MI-101;;
3340-MI-102;;
3340-BX-103;;
3340-PU-106;;
3340-PU-107;;
3340-PU-173;;
3340-PU-175;;
3340-BX-106;;
3340-PU-110;;
3340-PU-190;;
3340-BX-135;;
3340-PU-197;;
3340-TK-104;;
3340-PU-112;;
3340-PU-114;;
3340-PU-115;;
3340-TK-102;;
3340-TK-103;;
3340-PU-109;;
3340-PU-192;;
3340-PU-193;;
3350-ES-102;;
3350-ES-101;;
3340-CP-101;;
3340-CP-102;;
3340-AR-101;;
3340-AR-102;;
3340-AR-103;;
3340-CP-103;;
3340-LN-106;;
3340-LN-107;;
3340-LN-108;;
3340-PU-170;;
3340-MX-1;;
3340-MX-2;;
3340-MX-3;;
